brutal, constitute, stardom, ate, exhort, Thessaly, template, great, narcosis, incorrect, licensable, hideaway, loch, flunk, Bassett, melee, awhile, Della, derail, Bayreuth, confiscate, matinal, Durer, Simla, garb, elope, seismic, Hollingsworth, thumb, silica, sora, speedy, doghouse, emanate, meanwhile, ardent, c, inflater, blueprint, slaughter
sustenance : 8 | temporal | 77 | Lipton | 27 | 70 | lookout | 81 | 37 | Joan | apricot | 17 | Rosalie | 19 | 71 | 66 | 68 | 22 | 8 | prestidigitate | 62 | aerosol | 9 | 54 | quod | 49 | 58 | lady | 90 | 55 | Borroughs | mainstay | p's | 33 | 88 | 36 | bamboo | courtroom | 54
63 : histochemic | hearken | afire | 1 | theist | Uniroyal | 13 | 84 | 83 | Jan | 69 | everywhere | tournament | 89 | say | 88 | 17 | spurge | 15 | 10 | 6 | 72 | mettlesome | Jimenez | 69 | heroin | 43 | 89 | 80 | 20 | 3 | 69 | 8 | 68 | mission | quinine | 17 | 6 | 16
counterintuitive : 29 | 72 | 15 | 27 | excite | 5 | 27 | 23 | 30 | minimal | 75 | 84 | assassin | 54 | 31 | lounge | 59 | commingle | narcosis | 96 | malcontent | clip | 39 | divine | 13 | wavy | 23 | Kruger | 80 | invention | 10 | 48 | putdown | 88 | 36 | Tarzan | 29 | trinity | reactionary
43 : hiss | 41 | archery | convulsive | bent | Carey | 73 | 75 | grave | 32 | 9 | pundit | 73 | 55 | 33 | 72 | stampede | placater | 41 | 70 | suggestible | skyway | Koenig | penitentiary | 93 | 76 | 8 | cortex | 37 | cannel | 12 | Raoul | nineteenth | gjetost | 86 | bedevil | 58 | icosahedra | 91
25 : 85 | 76 | carrageen | 64 | mudguard | 25 | 86 | 19 | assiduous | 15 | 86 | 43 | 10 | accent | infectious | 56 | 28 | 31 | coal | redbird | 93 | 73 | 32 | Kajar | 39 | 98 | checkpoint | 12 | 17 | 49 | 44 | 78 | sebaceous | 1 | 70 | rightmost | 80 | 77 | furry
navigate : 56 | 93 | 71 | 46 | 10 | 52 | 66 | 5 | Narbonne | 76 | voluntary | homology | thicken | 61 | gnash | Yuki | moribund | facial | hind | bop | 90 | 21 | NNE | 4 | 17 | 45 | 64 | 48 | 71 | 25 | 92 | 50 | animism | 99 | 2 | preparative | 96 | 62 | twitchy
68 : declaim | 39 | 21 | 46 | Poland | 68 | 37 | 44 | 71 | exorbitant | 63 | 78 | 33 | 98 | Carbondale | 17 | 91 | shoelace | crow | 7 | Syria | 12 | jinx | update | 55 | Priestley | prop | prophetic | 94 | 99 | 71 | 46 | 47 | 36 | 29 | litigant | 18 | 45 | structural
sought : swamp | 46 | 0 | 90 | picture | Pradesh | 67 | 21 | breakpoint | 3 | Mudd | broken | 88 | accost | 78 | 14 | emphases | 29 | kerygma | 5 | 54 | 48 | 99 | phenol | Andrew | 9 | slow | 6 | 72 | 55 | flout | 42 | gasp | 98 | 47 | 94 | pedantic | 12 | brothel
42 : 98 | 73 | 8 | 80 | 9 | 70 | 60 | 23 | croak | 3 | 42 | 12 | 60 | 26 | pompous | redshank | 51 | premonition | 0 | perimeter | 17 | 97 | 15 | headset | 75 | 85 | 64 | 59 | affable | 93 | 84 | 13 | 89 | 4 | saffron | 16 | 59 | bleak | pax
84 : 74 | 42 | 55 | 96 | 1 | Glaswegian | pioneer | capillary | 62 | 90 | 8 | 78 | eightyfold | cremate | bisexual | 30 | Cuba | 32 | 25 | 57 | 22 | 49 | sob | 44 | cannister | 37 | 5 | 90 | 77 | 17 | 60 | guttural | 25 | 88 | 45 | 80 | Harlan | 88 | 32
39 : 14 | 23 | Loomis | 10 | 7 | elude | chaperone | incontestable | graceful | 83 | 30 | mesh | jean | 93 | 22 | mortgage | 38 | OPEC | 44 | 48 | 50 | 66 | matinal | 49 | 76 | 88 | 31 | deniable | roundabout | 84 | seventy | 98 | poverty | vehicle | Cobol | 58 | Slovenia | lodestone | infantry
23 : spidery | starry | roost | Congo | habitation | 49 | Ericsson | 48 | 80 | insubstantial | 41 | 10 | 76 | 52 | 16 | no | 50 | 99 | Nell | treat | 11 | 19 | 52 | freckle | protect | viral | streetcar | 70 | 21 | 85 | weaponry | inelegant | 9 | demitting | 55 | Verna | stigmata | 4 | spicy
99 : 69 | lighten | 98 | 88 | neutron | postprocess | wino | 31 | 46 | interdigitate | violet | bowfin | 92 | 91 | 27 | 94 | 82 | MBA | 53 | 69 | wormy | pail | 57 | 27 | 57 | 21 | 1 | 92 | 49 | 14 | sarsparilla | prosopopoeia | 3 | sum | 68 | impugn | 27 | wretch | 72
7 : Gutenberg | 34 | 5 | 31 | 3 | optic | faculty | 98 | 66 | 26 | Horus | minesweeper | 19 | 34 | 70 | baroque | octile | postal | psychopomp | 46 | 75 | 4 | 80 | shirtmake | 23 | 57 | 52 | rumpus | 69 | 43 | 73 | 23 | 90 | exhale | 82 | 46 | antebellum | 84 | 41
navy : 75 | 42 | Whipple | easy | 18 | 95 | 63 | 71 | 42 | 48 | 99 | 27 | minuscule | 62 | 55 | 30 | gremlin | 75 | 12 | 91 | amperage | bracket | gallstone | impatient | 97 | scenario | precess | 51 | 28 | 7 | 49 | 50 | 73 | captious | indebted | 95 | fricative | flaxen | horse
photography : Derbyshire | Noreen | 10 | 71 | 78 | calculate | 79 | corporal | 39 | perversion | 31 | Clark | 49 | 66 | warplane | virulent | surety | 34 | 51 | brunch | 60 | burg | 17 | 26 | chiton | coaxial | contemptuous | 29 | 39 | smokestack | 53 | leapt | enquire | leadeth | 51 | subterfuge | 89 | 77 | rode
69 : 71 | 58 | floruit | 28 | 75 | 75 | skin | edelweiss | 62 | expeditious | 42 | 78 | 31 | 17 | ANSI | 97 | girl | 60 | Brisbane | 74 | gilt | eject | spectrometer | 79 | chimney | 63 | 59 | 17 | 52 | 49 | 5 | 35 | whoosh | manganese | acrobatic | Rafael | trellis | 46 | sinew
ember : McCall | 88 | 18 | 65 | sheath | 63 | 38 | admit | Guggenheim | Lima | abovementioned | 41 | 55 | 45 | orthodontist | lavish | social | 82 | 70 | mania | 4 | Manhattan | spare | broad | 71 | Judaica | writ | 39 | 68 | sheepherder | 25 | hearken | pervasive | ease | drop | harpsichord | difluoride | arduous | proteolytic
Harmon : 17 | obstetrician | 29 | magician | 9 | salary | 84 | polemic | 51 | 74 | 25 | largemouth | Lehigh | 82 | propellant | 10 | 39 | 70 | 6 | 34 | 32 | cholesterol | Benares | 65 | victrola | innovate | franca | 57 | 66 | 59 | perseverant | 97 | 7 | rheology | 21 | 61 | mother | 50 | 16
96 : 1 | 2 | patty | 52 | 13 | 23 | Frankfort | embrace | 17 | pundit | perturb | steprelation | 10 | cutoff | 18 | sewerage | 69 | cork | 62 | 63 | 41 | loathe | 2 | anionic | parapsychology | conic | 3 | transgressor | 42 | 96 | scribe | licorice | 99 | 12 | cockleshell | uniprocessor | caraway | furnish | instable
8 : 50 | mastery | forbore | medley | 94 | 53 | weld | elevate | suppression | 39 | bodybuilding | ouvre | 7 | boson | 81 | 19 | 6 | 25 | 98 | 64 | 18 | inconclusive | 48 | 27 | profile | 81 | Manuel | throes | 22 | 4 | 25 | 33 | 68 | insecure | silt | USSR | 4 | 34 | Norwegian
sycophantic : 89 | 22 | 91 | 51 | 89 | 17 | Celsius | 94 | 81 | 72 | 59 | 66 | 76 | thesis | 1 | philology | 89 | 99 | 36 | Lowe | Mitchell | 87 | 61 | 36 | 64 | 44 | 92 | 38 | 55 | 48 | forgettable | burdensome | 52 | 99 | instable | 9 | peppery | 75 | 6
38 : 36 | 84 | sledge | patient | 98 | hyphen | Michelangelo | 91 | authoritarian | 49 | risible | 67 | 76 | arborescent | 69 | rinse | 53 | 72 | 92 | folio | specify | eccentric | 39 | 89 | FTC | 58 | 54 | diploid | sing | 64 | Wolff | 10 | idempotent | 21 | 62 | transmissible | nightfall | blip | vexation
morpheme : 9 | lumbermen | 8 | dense | 67 | easternmost | 59 | 8 | ejector | 33 | 18 | 57 | 18 | 67 | 93 | 59 | 82 | 10 | riddance | 28 | 37 | 55 | 8 | Dorothy | polio | 43 | 1 | 54 | 39 | 13 | impugn | garnet | Ukraine | 28 | 97 | forbore | rung | 25 | Oakley
43 : 11 | 31 | evanescent | 88 | 56 | doesn't | confocal | 58 | Weiss | 53 | 64 | 62 | 86 | ghost | prescriptive | 14 | Scot | midband | 9 | 59 | 54 | Winnipeg | 61 | Univac | 58 | optoisolate | 19 | 58 | besiege | 43 | 86 | Turkish | 11 | 70 | cloudburst | 72 | compilation | 40 | 46
Milwaukee : 32 | 51 | 13 | 68 | 27 | lacy | 34 | 95 | 43 | 28 | 90 | 40 | 2 | 34 | prolusion | 2 | stoic | generous | 91 | Battelle | 33 | 86 | 31 | 18 | 30 | 66 | 27 | 40 | 82 | 20 | 12 | 7 | 22 | Shakespeare | ignore | Michele | 97 | 60 | 26
34 : notoriety | 25 | 51 | Palatine | 6 | inevitable | 10 | 60 | 55 | 96 | focus | sardonic | 17 | 46 | allegiant | 69 | 23 | 58 | courage | are | Mexican | 22 | 98 | Earthman | 89 | memoranda | 68 | singe | monic | wail | crupper | roundabout | institute | 56 | 56 | 27 | Krebs | 62 | flatulent
20 : declivity | 16 | 19 | 25 | 28 | 37 | stifle | gallery | apothegm | 51 | 60 | aircraft | glacis | odd | 82 | topaz | 55 | 27 | reproach | 80 | 96 | antic | 69 | macerate | 97 | 93 | 87 | 89 | 73 | 61 | Boreas | 91 | 33 | 52 | Alcott | 65 | 25 | 89 | 77
82 : 5 | 3 | inadvisable | vibrant | 21 | 66 | 39 | 75 | 29 | 54 | 86 | 49 | Haynes | 70 | 25 | 1 | 72 | 85 | 5 | 83 | shepherd | althea | 80 | 47 | 96 | 31 | 77 | portend | piazza | corrosive | platitudinous | 97 | 44 | 0 | 75 | 37 | calyx | 27 | 2
shaken : 45 | slurp | 75 | mortar | 72 | 46 | 45 | 86 | seamen | Georgetown | 17 | tuition | 99 | 90 | 20 | 48 | vying | bellboy | ingenuity | 90 | job | 18 | 93 | hidalgo | 24 | 31 | alive | 29 | yoghurt | miasma | 94 | berg | festoon | 10 | 76 | goldeneye | wintertime | 17 | 22
17 : 45 | 82 | 77 | saturater | 56 | homeopathic | backscatter | 86 | 87 | 45 | 56 | 68 | Abelson | Ronald | hygiene | umpire | 2 | 17 | 97 | 63 | 2 | nosebleed | expository | 85 | 98 | 34 | thing | mucosa | endow | 52 | fum | Giles | 53 | 81 | roadway | virulent | 97 | 98 | 31
64 : 4 | 57 | tenspot | 86 | 92 | 89 | 44 | effluvia | warmonger | 11 | 89 | 3 | immediacy | Bunyan | 73 | 12 | 61 | 46 | hay | 53 | 58 | Leander | 8 | hyacinth | 98 | 39 | 81 | 1 | 85 | Pickford | hydrofluoric | 4 | snippet | 97 | 77 | genuflect | 17 | 23 | 87
85 : 28 | 50 | 36 | 14 | 53 | 38 | 98 | Rodriguez | okay | 97 | 56 | 71 | 62 | 79 | 97 | 41 | 71 | collaborate | 12 | ferroelectric | deportee | nasty | invite | 71 | 22 | 3 | 75 | proofread | 30 | devisee | 99 | 41 | 4 | tog | milky | ostentatious | lipstick | globule | Gorton
deface : 99 | 99 | 88 | 25 | atlas | 26 | extricable | typo | 82 | Paraguay | tatty | Indus | foundry | 51 | Veronica | 89 | 36 | 19 | yond | 75 | 20 | Rodriguez | 53 | dysplasia | pod | 14 | h's | 66 | 6 | azimuthal | curio | 67 | 93 | 4 | greyhound | 54 | rye | 11 | faithful
26 : 68 | 98 | 77 | starry | 71 | 41 | cheesy | anaerobic | 18 | 14 | ma | 72 | 8 | stimulatory | 51 | 3 | 14 | 13 | 33 | bloodstain | uphill | 5 | 41 | 43 | 7 | 10 | redound | Kane | Marino | antacid | 34 | numismatic | 42 | treaty | 12 | cipher | 82 | Sanchez | 3
cask : 47 | frigid | 2 | 58 | 80 | 26 | Melcher | 6 | 40 | shawl | remand | 89 | playhouse | 0 | 8 | 34 | cinder | 69 | 74 | 46 | 25 | 51 | warmhearted | apologetic | prudish | 63 | permanent | 21 | 14 | Allah | hansom | natural | 87 | 76 | 12 | 78 | Sistine | 98 | draftee
13 : 63 | 91 | 42 | Schoenberg | 3 | 89 | 33 | citizen | 11 | truly | think | embryonic | cryptanalysis | Lansing | 39 | somebody'll | 62 | 13 | 67 | Thailand | 18 | 21 | 60 | bronchiole | 85 | rattail | 93 | dean | 4 | 49 | 0 | cacophonist | 1 | 89 | classroom | 67 | tracery | 59 | 72
93 : exaltation | 80 | 80 | roadblock | appointee | 51 | 50 | drawback | 87 | 8 | 2 | 99 | 95 | 75 | 74 | 47 | 15 | 16 | Lucas | Hesse | colloquial | wrest | 11 | Snyder | 83 | archaism | 75 | 9 | 87 | 47 | 39 | 87 | 7 | cyst | 4 | 99 | wax | redound | 52
animist : 28 | 54 | crusty | Kettering | 62 | 43 | 19 | 19 | 88 | 91 | 30 | 4 | praline | pontificate | 40 | airborne | 67 | 35 | 4 | 8 | 78 | 23 | 11 | waxwork | 52 | 19 | bustard | 89 | girdle | 41 | pullback | 37 | foolhardy | grotto | 51 | transversal | toot | 41 | pulmonary
21 : 68 | livery | 0 | 60 | 60 | sidewise | 59 | reckon | betel | 32 | Ludwig | exception | 90 | 52 | 90 | Olivier | schist | Yaounde | 52 | 46 | 84 | alfresco | astral | 47 | Rosalie | Avery | Theseus | 7 | 38 | 87 | bipolar | 74 | 9 | 99 | 72 | work | 86 | hullaballoo | 89
3 : 98 | 61 | doctrinal | kleenex | 4 | 38 | 68 | Bagley | proper | 78 | 10 | Janos | 94 | death | panama | 62 | whose | 86 | 24 | Adamson | Israelite | camaraderie | chevron | limbo | 23 | 45 | 57 | chummy | quail | 2 | 33 | numismatic | wring | 0 | gallium | 67 | vitamin | squad | bate
fluke : Bahama | 29 | 91 | 15 | headstrong | 33 | 58 | 93 | goggle | 95 | ton | 31 | 93 | 66 | 55 | insipid | cravat | geothermal | macabre | 29 | tidy | 81 | 82 | Delaney | 25 | Sherwood | Kaddish | 92 | ti | 57 | ineffective | 68 | brig | 45 | min | wherever | 10 | 85 | 97
76 : 97 | 50 | supernatant | 26 | 42 | 6 | 21 | congresswomen | which | 79 | razor | 10 | Anglophobia | h | 54 | unite | Vivian | 0 | 56 | anagram | 80 | Hartford | 18 | 0 | juggernaut | Fiberglas | lamellar | 37 | 8 | cattail | intake | 99 | 16 | 33 | 52 | condemnate | wattle | 41 | 41
Holcomb : bran | 21 | 11 | transom | incredulous | clearance | eider | 31 | 12 | 8 | 9 | bolt | 85 | breeze | 55 | crowd | megalomaniac | 31 | observation | nobleman | hibernate | 70 | dung | 71 | 25 | 5 | 66 | 77 | flurry | coffeecup | 69 | 49 | 74 | space | 69 | 86 | 95 | 54 | sheet
94 : 38 | 48 | 32 | 73 | 86 | 24 | 91 | Steuben | kill | 82 | send | zilch | 29 | Abelian | campsite | 62 | yond | 67 | 91 | 70 | bedbug | 80 | 99 | 29 | 86 | offprint | copious | 37 | 97 | pat | 98 | 92 | oily | 94 | 95 | clung | 59 | 54 | 58
55 : 76 | 68 | 63 | Tyrannosaurus | inflict | 91 | 70 | 89 | 66 | 30 | alchemy | plateau | 80 | gullet | 88 | oxalate | gratuity | spark | EDT | 53 | gunman | aghast | 15 | connoisseur | 32 | Hamburg | freedom | 57 | 99 | 97 | 32 | 63 | Isfahan | 77 | 26 | 76 | 98 | 81 | Colby
39 : czar | bloodhound | dale | airman | 44 | 47 | 68 | 6 | 27 | raster | 82 | 62 | schoolgirl | Starkey | gusset | 30 | 64 | 86 | stutter | 41 | 86 | 16 | 74 | 68 | Elizabethan | 25 | 27 | 41 | 12 | Waterhouse | 41 | 87 | 41 | intercalate | 75 | 58 | January | 86 | Cyrillic
clown : 49 | fossil | 15 | 36 | severe | 3 | 94 | conveyor | 26 | ordnance | 51 | explicable | 34 | 9 | 74 | 30 | ally | marketplace | 71 | ordinate | yogurt | 79 | 6 | we'll | 14 | 89 | 41 | ratio | Hobart | fearful | 97 | 0 | 6 | Aug | jumbo | hypodermic | Pygmalion | Reilly | 38
byte : 33 | 56 | 9 | 7 | 35 | 66 | 27 | Kenton | 70 | 41 | 88 | 80 | windblown | 73 | Cassiopeia | 67 | sergeant | 13 | stenography | 56 | 79 | 70 | bronchiole | 6 | grace | dolce | 37 | 66 | slimy | quo | 83 | 77 | thyroxine | 14 | 5 | circumstance | delude | scrounge | 16
7 : nautical | integrable | 85 | 85 | 0 | 55 | 37 | NRC | 76 | highroad | abstruse | 77 | Heckman | 61 | contraption | 22 | 94 | scar | Diego | 69 | histidine | 17 | 10 | 90 | hardscrabble | 29 | Hutchison | 95 | 62 | 1 | teammate | 44 | 90 | handyman | 49 | Merritt | Atreus | 78 | 38
74 : mimeograph | 93 | 25 | 64 | 98 | 58 | 93 | Belgium | 81 | 35 | 47 | 74 | snowflake | 52 | 44 | 6 | 98 | 50 | 60 | slough | 8 | stride | 27 | 11 | 17 | 23 | 97 | sultan | radiology | gill | 58 | Eli | 84 | she'll | 2 | aryl | Pepsi | transfinite | gaillardia
churchwomen : 2 | minion | 91 | 74 | 11 | clonic | oaf | sleazy | 44 | 87 | 68 | pint | 86 | electron | 80 | 82 | pyrolyse | Geneva | 65 | 28 | wafer | extort | 19 | 61 | 53 | fiddle | 40 | 9 | 95 | 60 | fum | 13 | articulatory | begot | 76 | 34 | draught | 29 | 94
effectual : 27 | 25 | 50 | 88 | 20 | 2 | 33 | parochial | 93 | swig | 25 | 32 | 27 | 2 | breakoff | diachronic | 10 | illiterate | 64 | sidereal | TTL | galvanism | 65 | Berlitz | 2 | 14 | 70 | 42 | 6 | 68 | 36 | twelve | workforce | 44 | 93 | 53 | 58 | voltage | 19
songful : 92 | iceberg | 9 | 46 | likewise | 51 | quadric | harshen | 46 | 7 | intercom | 19 | reedy | 39 | vault | 12 | haze | 69 | 4 | 60 | 13 | Wesleyan | roguish | 4 | 91 | incommunicable | 26 | 71 | 93 | McFadden | standoff | 96 | 10 | grow | 96 | 24 | 97 | 18 | Dec
97 : staircase | 52 | Orin | 30 | 21 | 30 | 35 | 81 | sale | 68 | artisan | 70 | 50 | Nairobi | exemplary | 85 | 96 | 2 | 43 | 28 | 86 | referenda | 25 | ovate | 99 | scramble | 23 | 92 | tungsten | 24 | 84 | Mississippi | 46 | 57 | 47 | 25 | 65 | 86 | muff
92 : 95 | 75 | 60 | myopic | flop | 97 | 46 | 61 | 9 | 79 | 30 | resentful | Iberia | ocelot | 9 | bode | 26 | 61 | Filipino | 24 | 84 | handicraft | anathema | colossal | 93 | checklist | Durer | heterocyclic | doughnut | 40 | insurmountable | 61 | 55 | 50 | 86 | 17 | 84 | 38 | 13
75 : writhing | 96 | Vikram | lase | sweetheart | 61 | 93 | 77 | contrite | tuberculosis | 43 | 59 | 3 | psychometry | 22 | 45 | portrait | 1 | i.e | 47 | memorabilia | 92 | Cinerama | 69 | 35 | 66 | together | Isaacson | 85 | crabapple | 33 | 23 | 81 | Brazzaville | 71 | 56 | 67 | 72 | 86
ashame : 66 | 67 | coconut | 11 | 95 | 59 | skat | 82 | 58 | cycle | huh | 25 | anniversary | Holland | 44 | 48 | 60 | speculate | irrigate | 38 | simian | 91 | 41 | 77 | 41 | Pittsfield | 42 | 52 | vigilant | Gail | 66 | sketchy | 17 | thundercloud | swastika | 77 | 22 | practical | whipsaw
thrive : 86 | 15 | 41 | bushy | provenance | 87 | tandem | Lindquist | tire | hecatomb | 25 | curia | 83 | 18 | procession | 77 | 29 | harpy | Telex | orthodoxy | Walgreen | 75 | 66 | 66 | 80 | Datsun | 32 | chaise | 40 | 0 | 74 | sequel | bib | was | 47 | 84 | 22 | 93 | 6
45 : 91 | 33 | 34 | 11 | 67 | 72 | pyroxene | 16 | odorous | 54 | 45 | 97 | therapeutic | 41 | 45 | 45 | whimsey | 66 | Pickett | 39 | 37 | 22 | 22 | 61 | defer | 89 | irradiate | 61 | inaccessible | 91 | methionine | slippery | 24 | plasma | loath | 0 | necromancer | 51 | 53
99 : 93 | offend | 22 | Saudi | samba | 27 | 87 | tenon | mosquito | 3 | 78 | 90 | observatory | cane | silty | 69 | 56 | probate | cabana | dulse | 57 | 70 | Gideon | 89 | 79 | Spanish | nightmarish | begging | 64 | operand | Patricia | brute | 39 | 76 | 57 | pancreas | 98 | pesticide | 92
Mrs : 26 | 62 | 43 | 24 | consulate | 77 | septic | 53 | 62 | podium | 8 | 25 | 76 | 86 | 56 | McCoy | nine | 6 | 22 | pole | 14 | winemaster | 9 | 69 | 60 | blood | affiance | 26 | nematocyst | imprimatur | 74 | Donahue | 48 | poison | late | 56 | profile | 20 | beak
52 : 10 | californium | 62 | 49 | 33 | 82 | 76 | 96 | thatch | 43 | liquefy | lizard | Sweeney | flattery | 90 | 96 | 11 | 76 | 24 | obsolete | 32 | irretrievable | 2 | Culver | chorus | 92 | operand | 67 | 52 | 51 | Chelsea | Teddy | 49 | 20 | cowbell | Bloomfield | 58 | elan | 34
17 : 84 | 98 | invalidate | 8 | palindromic | and | textile | 20 | simply | 85 | scops | affiance | 70 | 14 | q | 85 | 33 | 78 | beady | cloister | 0 | Teheran | regret | topcoat | 41 | 53 | 83 | Huston | 38 | Rosenblum | canterelle | 58 | 51 | 7 | thwart | 5 | 65 | 69 | 33
stabile : 38 | 63 | steward | vintage | 9 | epiphany | Vienna | 34 | 33 | 47 | 27 | stall | appeal | organic | 28 | prosecutor | 42 | kindergarten | Sigmund | 28 | pursuit | 32 | 11 | 36 | teleprompter | cognitive | 76 | 17 | yen | 56 | 5 | 48 | 2 | flack | 7 | 44 | 54 | 70 | 64
CPA : 33 | Endicott | Moulton | 16 | 7 | 7 | 25 | 15 | 41 | 54 | 68 | 12 | mete | 54 | 54 | 17 | 15 | NYC | piety | taper | burgess | mensuration | 78 | 67 | wed | 41 | 25 | 17 | 72 | officio | flung | 56 | 34 | 88 | 1 | 67 | 40 | swart | Schroedinger
fogy : clinch | officiate | 40 | 64 | 46 | 82 | striptease | 19 | 43 | ravine | 4 | 27 | libel | 72 | substitution | shy | 64 | betrayal | 78 | 16 | gory | Augustine | 30 | torpedo | 61 | 26 | 65 | 45 | 85 | 53 | Marlene | glorify | 94 | ribonucleic | 0 | 48 | Ph.D | 23 | 80
8 : impracticable | endure | trendy | organismic | muscle | stipend | 65 | 49 | 56 | 63 | aggravate | physiochemical | Xhosa | preach | 59 | 7 | 16 | DOD | 30 | 15 | fanatic | 28 | 28 | 54 | 91 | 95 | 92 | 85 | 27 | alliterate | 2 | Modesto | 57 | 25 | optic | beggary | obsequious | actinide | 94
